pos_x_center,pos_y_center,pos_x_upper,pos_y_upper,pos_x_lower,pos_y_lower,pos_seg_num
-2.183764,1.960344,-0.898189,11.805095,-3.469338,-7.884407,1.000000
-2.133702,1.928797,-0.845394,11.771143,-3.422011,-7.913548,1.000000
-2.083641,1.897186,-0.792598,11.737121,-3.374684,-7.942749,1.000000
-2.033579,1.865511,-0.739802,11.703030,-3.327357,-7.972009,1.000000
-1.983518,1.833772,-0.687006,11.668871,-3.280029,-8.001327,1.000000
-1.933456,1.801970,-0.634210,11.634644,-3.232702,-8.030704,1.000000
-1.883395,1.770105,-0.581415,11.600350,-3.185375,-8.060139,1.000000
-1.833333,1.738178,-0.528619,11.565988,-3.138048,-8.089632,1.000000
-1.783272,1.706189,-0.475823,11.531560,-3.090721,-8.119182,1.000000
-1.733210,1.674137,-0.423027,11.497065,-3.043393,-8.148790,1.000000
-1.683149,1.642024,-0.370232,11.462504,-2.996066,-8.178455,1.000000
-1.633087,1.609850,-0.317436,11.427877,-2.948739,-8.208176,1.000000
-1.583026,1.577616,-0.264640,11.393184,-2.901412,-8.237953,1.000000
-1.532964,1.545320,-0.211844,11.358427,-2.854084,-8.267787,1.000000
-1.482903,1.512964,-0.159048,11.323605,-2.806757,-8.297676,1.000000
-1.432841,1.480549,-0.106253,11.288718,-2.759430,-8.327620,1.000000
-1.382780,1.448074,-0.053457,11.253768,-2.712103,-8.357620,1.000000
-1.332718,1.415540,-0.000661,11.218754,-2.664776,-8.387674,1.000000
-1.282657,1.382947,0.052135,11.183676,-2.617448,-8.417783,1.000000
-1.232595,1.350295,0.104930,11.148536,-2.570121,-8.447946,1.000000
-1.182534,1.317586,0.157726,11.113334,-2.522794,-8.478162,1.000000
-1.132472,1.284818,0.210522,11.078069,-2.475467,-8.508433,1.000000
-1.082411,1.251993,0.263318,11.042742,-2.428139,-8.538756,1.000000
-1.032349,1.219111,0.316114,11.007354,-2.380812,-8.569132,1.000000
-0.982288,1.186172,0.368909,10.971905,-2.333485,-8.599561,1.000000
-0.932226,1.153177,0.421705,10.936396,-2.286158,-8.630042,1.000000
-0.882165,1.120125,0.474501,10.900826,-2.238831,-8.660576,1.000000
-0.832103,1.087018,0.527297,10.865196,-2.191503,-8.691160,1.000000
-0.782042,1.053855,0.580093,10.829506,-2.144176,-8.721797,1.000000
-0.731980,1.020637,0.632888,10.793757,-2.096849,-8.752484,1.000000
-0.681919,0.987364,0.685684,10.757950,-2.049522,-8.783222,1.000000
-0.631857,0.954037,0.738480,10.722084,-2.002195,-8.814010,1.000000
-0.581796,0.920655,0.791276,10.686159,-1.954867,-8.844849,1.000000
-0.531734,0.887220,0.844071,10.650177,-1.907540,-8.875737,1.000000
-0.481673,0.853731,0.896867,10.614138,-1.860213,-8.906675,1.000000
-0.431611,0.820189,0.949663,10.578041,-1.812886,-8.937662,1.000000
-0.381550,0.786595,1.002459,10.541888,-1.765558,-8.968698,1.000000
-0.331488,0.752948,1.055255,10.505678,-1.718231,-8.999783,1.000000
-0.281427,0.719249,1.108050,10.469413,-1.670904,-9.030916,1.000000
-0.231365,0.685498,1.160846,10.433092,-1.623577,-9.062096,1.000000
-0.181304,0.651695,1.213642,10.396715,-1.576250,-9.093325,1.000000
-0.131242,0.617842,1.266438,10.360284,-1.528922,-9.124601,1.000000
-0.081181,0.583937,1.319233,10.323799,-1.481595,-9.155924,1.000000
-0.031119,0.549983,1.372029,10.287259,-1.434268,-9.187293,1.000000
0.018942,0.515978,1.424825,10.250665,-1.386941,-9.218709,1.000000
0.069004,0.481923,1.477621,10.214018,-1.339613,-9.250171,1.000000
0.119065,0.447819,1.530417,10.177318,-1.292286,-9.281679,1.000000
0.169127,0.413666,1.583212,10.140565,-1.244959,-9.313233,1.000000
0.219188,0.379464,1.636008,10.103760,-1.197632,-9.344832,1.000000
0.269250,0.345214,1.688804,10.066903,-1.150305,-9.376475,1.000000
0.319311,0.310916,1.741600,10.029995,-1.102977,-9.408163,1.000000
0.369373,0.276570,1.794396,9.993035,-1.055650,-9.439896,1.000000
0.419434,0.242176,1.847191,9.956024,-1.008323,-9.471672,1.000000
0.469496,0.207736,1.899987,9.918963,-0.960996,-9.503492,1.000000
0.519557,0.173248,1.952783,9.881852,-0.913668,-9.535355,1.000000
0.569619,0.138715,2.005579,9.844691,-0.866341,-9.567262,1.000000
0.619680,0.104135,2.058374,9.807480,-0.819014,-9.599211,1.000000
0.669742,0.069509,2.111170,9.770221,-0.771687,-9.631202,1.000000
0.719803,0.034838,2.163966,9.732913,-0.724360,-9.663236,1.000000
0.769865,0.000122,2.216762,9.695556,-0.677032,-9.695311,1.000000
0.819926,-0.034638,2.269558,9.658152,-0.629705,-9.727428,1.000000
0.869988,-0.069443,2.322353,9.620700,-0.582378,-9.759586,1.000000
0.920049,-0.104293,2.375149,9.583200,-0.535051,-9.791785,1.000000
0.970111,-0.139185,2.427945,9.545654,-0.487724,-9.824025,1.000000
1.020172,-0.174122,2.480741,9.508062,-0.440396,-9.856305,1.000000
1.070234,-0.209101,2.533536,9.470423,-0.393069,-9.888625,1.000000
1.120295,-0.244123,2.586332,9.432738,-0.345742,-9.920984,1.000000
1.170357,-0.279187,2.639128,9.395008,-0.298415,-9.953383,1.000000
1.220418,-0.314294,2.691924,9.357233,-0.251087,-9.985821,1.000000
1.270480,-0.349442,2.744720,9.319414,-0.203760,-10.018297,1.000000
1.320541,-0.384631,2.797515,9.281550,-0.156433,-10.050812,1.000000
1.370603,-0.419862,2.850311,9.243642,-0.109106,-10.083365,1.000000
1.420664,-0.455133,2.903107,9.205690,-0.061779,-10.115956,1.000000
1.470726,-0.490444,2.955903,9.167696,-0.014451,-10.148584,1.000000
1.520787,-0.525796,3.008699,9.129658,0.032876,-10.181249,1.000000
1.570849,-0.561187,3.061494,9.091578,0.080203,-10.213952,1.000000
1.620910,-0.596617,3.114290,9.053456,0.127530,-10.246691,1.000000
1.670972,-0.632087,3.167086,9.015292,0.174858,-10.279466,1.000000
1.721033,-0.667595,3.219882,8.977087,0.222185,-10.312277,1.000000
1.771095,-0.703142,3.272677,8.938840,0.269512,-10.345124,1.000000
1.821156,-0.738726,3.325473,8.900553,0.316839,-10.378006,1.000000
1.871218,-0.774349,3.378269,8.862226,0.364166,-10.410923,1.000000
1.921279,-0.810008,3.431065,8.823858,0.411494,-10.443875,1.000000
1.971341,-0.845705,3.483861,8.785452,0.458821,-10.476861,1.000000
2.021402,-0.881438,3.536656,8.747005,0.506148,-10.509881,1.000000
2.071464,-0.917207,3.589452,8.708520,0.553475,-10.542935,1.000000
2.121525,-0.953013,3.642248,8.669997,0.600802,-10.576023,1.000000
2.171587,-0.988854,3.695044,8.631435,0.648130,-10.609143,1.000000
2.221648,-1.024730,3.747839,8.592836,0.695457,-10.642297,1.000000
2.271710,-1.060642,3.800635,8.554199,0.742784,-10.675483,1.000000
